gru_message,label_encoded
ola would get back to you maybe not today but i ve told him you can be his direct link in the us in getting cars he bids for online you arrange shipping and you get a cut or u for a partnership where u invest money for shipping and he takes care of the rest u wud b self reliant soon dnt worry,0
anything lor u decide,0
left dessert u wan me go suntec look u,0
we ll join the lt gt bus,0
even if he my friend he is a priest call him now,0
what you did in leave,0
cool i ll text you when i m on the way,0
so that means you still think of teju,0
sweet heart how are you,0
customer place i wil cal u sir,0
hope you re not having too much fun without me see u tomorrow love jess x,0
he fucking chickened out he messaged me he would be late and woould buzz me and then i didn t hear a word from him,0
gud mrng dear have a nice day,0
the greatest test of courage on earth is to bear defeat without losing heart gn tc,0
surly ill give it to you while coming to review,0
i will come tomorrow di,0
yes last practice,0
do you know when the result,0
oh a half hour is much longer in syria than canada eh wow you must get so much more work done in a day than us with all that extra time grins,0
came to look at the flat seems ok in his s is away alot wiv work got woman coming at too,0
r u in this continent,0
i was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here that lt gt dollars is years sent and that you know its a strain but i plan to pay back every dime he gives every dime so for me to expect anything from you is not practical something like that,0
ok there may be a free gym about,0
din i tell u jus now,0
orange customer you may now claim your free camera phone upgrade for your loyalty call now on offer ends thmarch t c s apply opt out availa,1
when u love someone dont make them to love u as much as u do but love them so much that they dont want to be loved by anyone except you gud nit,0
mmmmm it was sooooo good to wake to your words this morning my love mmmm fuck i love you too my lion devouring kiss from across the sea,0
i m watching lotr w my sis dis aft so u wan meet me dinner at nite a not,0
company is very good environment is terrific and food is really nice,0
haha sounds crazy dunno can tahan anot,0
none of that s happening til you get here though,0
thanx puttin da fone down on me,0
having lunch you are not in online why,0
freemsg why haven t you replied to my text i m randy sexy female and live local luv to hear from u netcollex ltd p per msg reply stop to end,1
thanks honey have a great day,0
urgent please call from landline your abta complimentary tenerife holiday or cash await collection sae t cs box cw wx ppm,1
change windows logoff sound,0
sorry i missed your call can you please call back,0
thanx today cer it was nice catch up but we ave find more time more often oh well take care c u soon c,0
thank you winner notified by sms good luck no future marketing reply stop to customer services,1
just now saw your message it k da,0
yes it s all innocent fun o,0
that s my honeymoon outfit,0
sorry pa i dont knw who ru pa,0
reminder from o to get pounds free call credit and details of great offers pls reply this text with your valid name house no and postcode,1
sorry sir i will call you tomorrow senthil hsbc,0
k k its good when are you going,0
well there s not a lot of things happening in lindsay on new years sighs some bars in ptbo and the blue heron has something going,0
what i mean was i left too early to check cos i m working a,0
nothing much chillin at home any super bowl plan,0
oh unintentionally not bad timing great fingers the trains play along will give fifteen min warning,0
why you keeping me away like this,0
what class of lt gt reunion,0
tf p,1
aight i m chillin in a friend s room so text me when you re on the way,0
all was well until slightly disastrous class this pm with my fav darlings hope day off ok coffee wld be good as can t stay late tomorrow same time place as always,0
i accidentally deleted the message resend please,0
welcome to uk mobile date this msg is free giving you free calling to future mgs billed at p daily to cancel send go stop to,1
fuck cedar key and fuck her come over anyway tho,0
are u coming to the funeral home,0
omg i want to scream i weighed myself and i lost more weight woohoo,0
i ll post her out l r in class,0
at esplanade do mind giving me a lift cos i got no car today,0
dear u ve been invited to xchat this is our final attempt to contact u txt chat to,1
s i m watching it in live,0
thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable,0
mobile club choose any of the top quality items for your mobile cfca a,1
oi ami parchi na re kicchu kaaj korte iccha korche na phone ta tul na plz plz,0
just finished missing you plenty,0
no da vijay going to talk in jaya tv,0
sorry chikku my cell got some problem thts y i was nt able to reply u or msg u,0
was playng doors game and gt racing on phone lol,0
lol alright i was thinkin that too haha,0
i will cme i want to go to hos morow after that i wil cme this what i got from her dear what to do she didnt say any time,0
usually the body takes care of it buy making sure it doesnt progress can we pls continue this talk on saturday,0
rock yr chik get s of filthy films xxx pics on yr phone now rply filth to saristar ltd e yt p per days stop cancel,1
haven t heard anything and he s not answering my texts so i m guessing he flaked that said the jb is fantastic,0
s s india going to draw the series after many years in south african soil,0
hello u call wen u finish wrk i fancy meetin up wiv u all tonite as i need a break from dabooks did hrs last nite today of wrk,0
sir i need axis bank account no and bank address,0
i m sick i m needy i want you pouts stomps feet where are you pouts stomps feet i want my slave i want him now,0
oh yeah clearly it s my fault,0
mths half price orange line rental latest camera phones free had your phone mths call mobilesdirect free on to update now or stoptxt t cs,1
may i call you later pls,0
still work going on it is very small house,0
raji pls do me a favour pls convey my birthday wishes to nimya pls today is her birthday,0
is your hamster dead hey so tmr i meet you at pm orchard mrt,0
santa calling would your little ones like a call from santa xmas eve call to book you time calls ppm last mins s t c url,1
no on the way home so if not for the long dry spell the season would have been over,0
its not that time of the month nor mid of the time,0
goodmorning today i am late for lt decimal gt min,0
are you comingdown later,0
a guy who gets used but is too dumb to realize it,0
mah b i ll pick it up tomorrow,0
cheers u tex mecause u werebored yeah okden hunny r uin wk sat sound s likeyour havin gr fun j keep updat countinlots of loveme xxxxx,0
did you try making another butt,0
i ll text carlos and let you know hang on,0
hi hun im not comin nite tell every im sorry me hope u ava goodtime oli rang melnite ifink it mite b sorted but il explain everythin on mon l rs x,0
kind of took it to garage centre part of exhaust needs replacing part ordered n taking it to be fixed tomo morning,0
thanks for loving me so you rock,0
i will be gentle princess we will make sweet gentle love,0
ok no prob take ur time,0
you dont know you jabo me abi,0
o well uv causes mutations sunscreen is like essential thesedays,0
thought i didn t see you,0
kothi print out marandratha,0
dont worry day very big lambu ji vl come til then enjoy batchlor party,0
pete can you please ring meive hardly gotany credit,0
its like that hotel dusk game i think you solve puzzles in a area thing,0
pls speak with me i wont ask anything other then you friendship,0
total disappointment when i texted you was the craziest shit got,0
for ur chance to win money cash every wk txt play to t s c s url custcare x p wk,1
i sent my scores to sophas and i had to do secondary application for a few schools i think if you are thinking of applying do a research on cost also contact joke ogunrinde her school is one me the less expensive ones,0
derp which is worse a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with,0
true lov n care wil nevr go unrecognized though somone often makes mistakes when valuing it but they will definitly undrstnd once when they start missing it,0
do you work all this week,0
hello hello hi lou sorry it took so long reply i left mobile at friends in lancaster just got it bak neway im sorry i couldn t make ur b day hun,0
natalie f is inviting you to be her friend reply yes or no see her url stop send stop frnd to,1
are you up for the challenge i know i am,0
also track down any lighters you can find,0
cool breeze bright sun fresh flower twittering birds all these waiting to wish u goodmorning amp have a nice day,0
miss call miss call khelate kintu opponenter miss call dhorte lage thats d rule one with great phone receiving quality wins,0
was a nice day and impressively i was sensible went home early and now feel fine or am i just boring when s yours i can t remember,0
best line said in love i will wait till the day i can forget u or the day u realize that u cannot forget me gn,0
no no this is kallis home ground amla home town is durban,0
ok i m gonna head up to usf in like fifteen minutes,0
does daddy have a bb now,0
back work morro half term over can u c me nite some sexy passion b i have go back chat now luv dena calls money minmobsmorelkpobox hp fl,1
lemme know when i can swing by and pick up i m free basically any time after all this semester,0
just haven t decided where yet eh,0
a famous quote when you develop the ability to listen to anything unconditionally without losing your temper or self confidence it means you are married,0
teach me apps da when you come to college,0
no need lar i go engin cos my sis at arts today,0
urgent your mobile no won a money bonus caller prize on this is the nd attempt to reach you call asap box n qp ppm,1
good stuff will do,0
splashmobile choose from s of gr tones each wk this is a subscrition service with weekly tones costing p u have one credit kick back and enjoy,1
haiyoh maybe your hamster was jealous of million,0
what happened to our yo date,0
sure thing big man i have hockey elections at shouldn t go on longer than an hour though,0
thanks for your subscription to ringtone uk your mobile will be charged money month please confirm by replying yes or no if you reply no you will not be charged,1
c movie is juz last minute decision mah juz watch lar but i tot not interested,0
was the actual exam harder than nbme,0
by the way rencontre is to meet again mountains dont,0
package all your programs well,0
still attending da talks,0
thanx a lot ur help,0
hi ya babe x u goten bout me scammers getting smart though this is a regular vodafone no if you respond you get further prem rate msg subscription other nos used also beware,1
asked mobile if chatlines inclu in free mins india cust servs sed yes l er got mega bill dont giv a shit bailiff due in days i o money want money,1
hey what time is your driving on fri we go for evaluation on fri,0
bring tat cd don forget,0
it s money to get in is that ok,0
sms auction a brand new nokia is up auction today auction is free join take part txt nokia to now,1
beautiful tomorrow never comes when it comes it s already today in the hunt of beautiful tomorrow don t waste your wonderful today goodmorning,0
your unique user id is for removal send stop to customer services,1
your account has been credited with free text messages to activate just txt the word credit to no t cs url,1
hey you gave them your photo when you registered for driving ah tmr wanna meet at yck,0
they don t put that stuff on the roads to keep it from getting slippery over there,0
anyway i don t think i can secure anything up here lemme know if you want me to drive down south and chill,0
nutter cutter ctter cttergg cttargg ctargg ctagg ie you,0
draw va i dont think so,0
anything lor if they all go then i go lor,0
hey come online use msn we are all there,0
er yeah i will b there at sorry just tell me which pub cafe to sit in and come wen u can,0
hello they are going to the village pub at so either come here or there accordingly ok,0
haha good to hear i m officially paid and on the market for an th,0
haven t seen my facebook huh lol,0
cool what time you think you can get here,0
same as u dun wan y u dun like me already ah wat u doing now still eating,0
life alle mone eppolum oru pole allalo,0
i m coming back on thursday yay is it gonna be ok to get the money cheers oh yeah and how are you everything alright hows school or do you call it work now,0
when re you guys getting back g said you were thinking about not staying for mcr,0
ha then we must walk to everywhere cannot take tram my cousin said can walk to vic market from our hotel,0
i ve reached already,0
ok lor i m in town now lei,0
wow didn t think it was that common i take it all back ur not a freak unless u chop it off,0
are you going to wipro interview today,0
wait do you know if wesleys in town i bet she does hella drugs,0
jus finish watching tv u,0
i was slept that time you there,0
pa but not selected,0
ok is any problem to u frm him wats matter,0
i don t know u and u don t know me send chat to now and let s find each other only p msg rcvd hg suite lands row w j hl ldn years or over,1
i havent add yet right,0
hey do u fancy meetin me at at cha hav a lil beverage on me if not txt or ring me and we can meet up l r quite tired got in at v pist love pete x x x,0
lol ok ill try to send be warned sprint is dead slow you ll prolly get it tomorrow,0
dont make ne plans for nxt wknd coz she wants us to come down then ok,0
sir i am waiting for your call,0
aiyo u always c our ex one i dunno abt mei she haven reply first time u reply so fast y so lucky not workin huh got bao by ur sugardad ah gee,0
i m in chennai velachery,0
want get laid tonight want real dogging locations sent direct ur mob join the uk s largest dogging network bt txting gravel to nt ec a p msg p,1
helloooo wake up sweet morning welcomes you enjoy this day with full of joy gud mrng,0
anyway i m going shopping on my own now cos my sis not done yet dun disturb u liao,0
motivate behind every darkness there is a shining light waiting for you to find it behind every best friend there is always trust and love bslvyl,0
i don t know but i m raping dudes at poker,0
moon has come to color your dreams stars to make them musical and my sms to give you warm and peaceful sleep good night,0
i can make it up there squeezed lt gt bucks out of my dad,0
i m glad you are following your dreams,0
have a safe trip to nigeria wish you happiness and very soon company to share moments with,0
ur cash balance is currently pounds to maximize ur cash in now send go to only p meg cc hg suite lands row w j hl,1
i know you are serving i mean what are you doing now,0
private your account statement for,1
what does the dance river do,0
hi babe u r most likely to be in bed but im so sorry about tonight i really wanna see u tomorrow so call me at love me xxx,0
you gonna ring this weekend or wot,0
allo we have braved the buses and taken on the trains and triumphed i mean we re in b ham have a jolly good rest of week,0
i m not sure i was just checking out what was happening around the area,0
ok,0
hi mom we might be back later than lt gt,0
lol ok your forgiven,0
good evening sir hope you are having a nice day i wanted to bring it to your notice that i have been late in paying rent for the past few months and have had to pay a money lt gt charge i felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that s why i didnt speak up i however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month s end can you please help thank you for everything,0
k i ll head out in a few mins see you there,0
as a sim subscriber you are selected to receive a bonus get it delivered to your door txt the word ok to no to claim p msg exp apr,1
speaking of does he have any cash yet,0
important information orange user xxxxxxx today is your lucky day find out why log onto url there s a fantastic surprise awaiting you,1
no probably lt gt,0
you only hate me you can call any but you didnt accept even a single call of mine or even you messaged,0
pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala,0
st andre virgil s cream,0
get the official england poly ringtone or colour flag on yer mobile for tonights game text tone or flag to optout txt eng stop box w wx money,1
want to funk up ur fone with a weekly new tone reply tones u this text url the original n best tones gbp network operator rates apply,1
i just got home babe are you still awake,0
umma did she say anything,0
i had been hoping i would not have to send you this message my rent is due and i dont have enough for it my reserves are completely gone its a loan i need and was hoping you could her the balance is lt gt is there a way i could get that from you till mid march when i hope to pay back,0
filthy stories and girls waiting for your,1
and my man carlos is definitely coming by mu tonight no excuses,0
thought praps you meant another one goodo i ll look tomorrow,0
have you finished work yet,0
oh k i will come tomorrow,0
friends that u can stay on fb chat with,0
hey gorgeous man my work mobile number is have a good one babe squishy mwahs,0
haf u eaten wat time u wan me come,0
squeeeeeze this is christmas hug if u lik my frndshp den hug me back if u get u r cute u r luvd u r so lucky none people hate u,0
you are a winner u have been specially selected receive money or a holiday flights inc speak to a live operator claim p min,1
thanks honey but still haven t heard anything i will leave it a bit longer so not crowd him and will try later great advice thanks hope cardiff is still there,0
yeah so basically any time next week you can get away from your mom amp get up before,0
doing my masters when will you buy a bb cos i have for sale and how s bf,0
none nowhere ikno doesdiscount shitinnit,0
my friends use to call the same,0
where do you need to go to get it,0
ringtone club get the uk singles chart on your mobile each week and choose any top quality ringtone this message is free of charge,1
sorry im getting up now feel really bad totally rejected that kinda me thing,0
lara said she can loan me lt gt,0
hi my darlin im on my way to london and we have just been smashed into by another driver and have a big dent im really missing u what have u been up to xxx,0
for real when u getting on yo i only need more tickets and one more jacket and i m done i already used all my multis,0
u should have made an appointment,0
they said if its gonna snow it will start around or pm tonite they are predicting an inch of accumulation,0
and stop being an old man you get to build snowman snow angels and snowball fights,0
i think you should go the honesty road call the bank tomorrow its the tough decisions that make us great people,0
congratulations ore mo owo re wa enjoy it and i wish you many happy moments to and fro wherever you go,0
yes i have so that s why u texted pshew missing you so much,0
siva is in hostel aha,0
oh k why you got job then whats up,0
blank is blank but wat is blank lol,0
super msg da nalla timing,0
ha ha ha good joke girls are situation seekers,0
how do you plan to manage that,0
dear i have reache room,0
y de asking like this,0
and also i ve sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,0
xclusive clubsaisai morow soiree speciale zouk with nichols from paris free roses all ladies info,1
ok but i finish at,0
how do you guys go to see movies on your side,0
i have docs appointments next week i m tired of them shoving stuff up me ugh why couldn t i have had a normal body,0
a gram usually runs like lt gt a half eighth is smarter though and gets you almost a whole second gram for lt gt,0
same wana plan a trip sometme then,0
anytime lor,0
call from tells u call to claim money prize u have enter all ur mobile personal details the prompts careful,1
im gonnamissu so much i would say il send u a postcard buttheres aboutas much chance of merememberin asthere is ofsi not breakin his contract luv yaxx,0
tmr then brin lar aiya later i come n c lar mayb neva set properly got da help sheet wif,0
come lt n pass to me lar,0
you give us back my id proof and lt gt rs we wont allow you to work we will come to your home within days,0
goodmorning sleeping ga,0
very hurting n meaningful lines ever i compromised everything for my love but at d end my love compromised me for everything gud mornin,0
jay says that you re a double faggot,0
id onluy matters when getting on from offcampus,0
i love your ass do you enjoy doggy style,0
thank you meet you monday,0
ugh hopefully the asus ppl dont randomly do a reformat,0
this is the nd time we have tried contact u u have won the pound prize claim is easy call now only p per min bt national rate,1
and several to you sir,0
wot about on wed nite i am then but only til,0
get a free mobile video player free movie to collect text go to its free extra films can be ordered t s and c s apply yrs only,1
good evening how are you,0
no am working on the ringing u thing but have whole houseful of screaming brats so am pulling my hair out loving u,0
mm umma ask vava also to come tell him can play later together,0
i wanted to wish you a happy new year and i wanted to talk to you about some legal advice to do with when gary and i split but in person i ll make a trip to ptbo for that i hope everything is good with you babe and i love ya,0
hi babe its jordan how r u im home from abroad and lonely text me back if u wanna chat xxsp visionsms com text stop to stopcost p,1
i ve sent my wife your text after we buy them she ll tell you what to do so just relax we should go get them this wkend,0
k text me when you re on the way,0
book which lesson then you msg me i will call up after work or sth i m going to get specs my membership is px,0
sorry i ll call you later i am in meeting sir,0
my no in luton ring me if ur around h,0
ok lar joking wif u oni,0
you are sweet as well princess please tell me your likes and dislikes in bed,0
ok thanx,0
hiya probably coming home weekend after next,0
did you hear about the new divorce barbie it comes with all of ken s stuff,1
you are not bothering me but you have to trust my answers pls,0
ya they are well and fine bbd pooja full pimples even she become quite black and ur rite here its too cold wearing sweatter,0
so its to be poking man everyday that they teach you in canada abi how are you just saying hi,0
k k good study well,0
lt gt in mca but not conform,0
forwarded from free entry into our money weekly comp just send the word enter to now t c url,1
your next amazing xxx picsfree video will be sent to you enjoy if one vid is not enough for day text back the keyword picsfree to get the next video,1
just do what ever is easier for you,0
also remember the beads don t come off ever,0
your chance to be on a reality fantasy show call now just p per min ntt ltd po box croydon cr wb is a national rate call,1
winner as a valued network customer you hvae been selected to receive a money reward to collect call valid hours only acl pm,1
new mobiles from must go txt nokia to no collect yours today from only money url optout gbp mtmsg txtauction,1
hellogorgeous hows u my fone was on charge lst nitw wen u texd me hopeu ad a nice wkend as im sure u did lookin ward c in u mrw luv jaz,0
gent we are trying to contact you last weekends draw shows that you won a money prize guaranteed call claim code k valid hrs only ppm,1
what time u wrkin,0
mmm fuck merry christmas to me,0
its a valentine game send dis msg to all ur friends if answers r d same then someone really loves u ques which colour suits me the best,0
hey u still at the gym,0
sitting ard nothing to do lor u leh busy w work,0
if he started searching he will get job in few days he have great potential and talent,0
height of confidence all the aeronautics professors wer calld amp they wer askd sit in an aeroplane aftr they sat they wer told dat the plane ws made by their students dey all hurried out of d plane bt only didnt move he said if it is made by my students this wont even start datz confidence,0
god created gap btwn ur fingers so dat sum vry special will fill those gaps by holding ur hands now plz dont ask y he created so much gap between legs,0
leaving to qatar tonite in search of an opportunity all went fast pls add me in ur prayers dear rakhesh,0
you were supposed to wake me up gt,0
my darling sister how are you doing when s school resuming is there a minimum wait period before you reapply do take care,0
not from this campus are you in the library,0
well i m gonna finish my bath now have a good fine night,0
yes mum lookin strong,0
not yet had ya sapna aunty manege y day hogidhe chinnu full weak and swalpa black agidhane,0
goodmorning my grandfather expired so am on leave today,0
thanks for understanding i ve been trying to tell sura that,0
ya very nice be ready on thursday,0
there s no point hangin on to mr not right if he s not makin u happy,0
get the door i m here,0
howz pain hope u r fine,0
if you mean the website yes,0
all sounds good fingers makes it difficult to type,0
you have won cash or a prize to claim call t c rstm sw ss ppm,1
okie wan meet at bishan cos me at bishan now i m not driving today,0
i had a good time too its nice to do something a bit different with my weekends for a change see ya soon,0
lt gt of pple marry with their lovers becz they hav gud undrstndng dat avoids problems i sent dis u u wil get gud news on friday by d person you like and tomorrow will be the best day of your life dont break this chain if you break you will suffer send this to lt gt frnds in lt gt mins whn u read,0
you ve always been the brainy one,0
my sis is catching e show in e afternoon so i m not watching w her so c u wan watch today or tmr lor,0
thank god they are in bed,0
best msg it s hard to be with a person when u know that one more step foward will make u fall in love amp one step back can ruin ur friendship good night,0
staff of placement training in amrita college,0
midnight at the earliest,0
yo howz u girls never rang after india l,0
am on my way,0
what do u reckon as need arrange transport if u can t do it thanks,0
thanx a lot,0
u can call me now,0
we have all rounder so not required,0
booked ticket for pongal,0
yes baby i need to stretch open your pussy,0
k da how many page you want,0
please leave this topic sorry for telling that,0
swhrt how u dey hope ur ok tot about u day love n miss take care,0
no yes please been swimming,0
bring it if you got it,0
discussed with your mother ah,0
i think chennai well settled,0
really good dhanush rocks once again,0
can you call me plz your number shows out of coveragd area i have urgnt call in vasai amp have to reach before o clock so call me plz,0
dont show yourself how far put new pictures up on facebook,0
that s not v romantic,0
should i head straight there or what,0
wife how she knew the time of murder exactly,0
nothing spl wat abt u and whr ru,0
cool i ll text you in a few,0
argh my g is spotty anyway the only thing i remember from the research we did was that province and sterling were the only problem free places we looked at,0
aight let me know when you re gonna be around usf,0
